"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"dog","pig","cow","turtle","zebra","monkey","sheep","bird","dinosaur","hippo","snake","leopard","catamount","lion","tiger","bat","owl","toucan","falcon","bald eagle","goat","","","","","","","","","","","","","",""
"cat","dog","bird","monkey","giraffe","zebra","horse","platypus","kitten","lion","cheetah","jaguar","moose","deer","elephant","","","","","","","","","","","","","","","","","","","",""
"iguana","chimpanzee","mario","cat","dog","mouse","your mom","monkey","dragon","centaur","mink","koala","kangaroo","panda","lemur","rat","woman","","","","","","","","","","","","","","","","","",""
"cat","dog","hamster","snake","monkey","bird","gorilla","donkey","horse","zebra","lion","deer","muskrat","beaver","fox","coyote","rat","squirrel","fish","","","","","","","","","","","","","","","",""
"cat","dog","fish","bird","zebra","koala","donkey","lion","scorpion","shark","snake","lizard","penguin","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bunny","bird","elephant","turtle","rhino","moose","dolphin","shark","fish","cow","pig","hamster","chicken","duck","penguin","whale","donkey","spider","","","","","","","","","","","","","","",""
"cow","dog","cat","bear","lion","tiger","elephant","mouse","horse","giraffe","monkey","bird","bull","rhino","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rabbit","kangaroo","lion","bear","tiger","elephant","zebra","lemur","parrot","lizard","iguana","bird","monkey","","","","","","","","","","","","","","","","","","",""
"cat","dog","rabbit","bird","giraffe","zebra","lion","tiger","bear","fish","crocodile","mouse","kangaroo","monkey","shark","dolphin","","","","","","","","","","","","","","","","","","",""
"cat","dog","monkey","lion","tiger","snake","elephant","giraffe","penguin","koala","polar bear","duck","cow","horse","chicken","mouse","rat","parrot","snail","whale","fish","dolphin","seal","panda","","","","","","","","","","",""
"giraffe","hippo","monkey","dog","cat","duck","pic","pig","cow","chicken","goat","lamb","lion","cheetah","zebra","bird","eagle","elephant","cat","hamster","rat","snake","bunny","","","","","","","","","","","",""
"snake","dog","lion","bear","fish","pig","horse","cat","iguana","more cat","mouse","rat","lobster","crab","whale","cane","","","","","","","","","","","","","","","","","","",""
"dog","cat","zebra","fish","rat","mouse","giraffe","bear","monkey","gorilla","lion","tiger","baboon","bunny","hedgehog","","","","","","","","","","","","","","","","","","","",""
"dog","cat","fish","bunny","parrot","flamingo","octopus","squirrel","ferret","kitten","tiger","cheetah","monkey","panther","leopard","bear","seal","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","bear","ant","giraffe","gorilla","monkey","zebra","donkey","pig","pig","hippo","rat","goose","duck","bird","bat","roach","koala","kola","","","","","","","","","","","","","",""
"deer","dog","cat","dinosaur","turtle","bird","meerkat","giraffe","elephant","squirrel","frog","fish","shark","whale","coral","goldfish","seagull","cow","pig","lamb","sheep","goat","horse","pony","","","","","","","","","","",""
"sheep","goat","chicken","cow","donkey","horse","pig","dog","cat","rabbit","hamster","guinea pig","hedge hog","squirrel","frog","fish","deer","dove","raccoon","opossum","monkey","zebra","lion","elk","moose","hippo","rhino","","","","","","","",""
"dog","cat","bear","bee","ant","fox","chicken","pig","cow","goose","eagle","bluebird","robin","duck","mouse","fly","fruitfly","panther","bull","moose","","","","","","","","","","","","","","",""
"dog","cat","fish","tiger","gorilla","tiger","tiger","lion","water bear","worm","ant","bee","wolf","rat","mouse","racoon","deer","fox","opossum","horse","buffalo","","","","","","","","","","","","","",""
"tiger","lion","bear","eagle","cow","dog","cat","whale","fish","monkey","shark","gorilla","bird","hawk","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","pig","rooster","mouse","moose","shark","snake","turtle","tortoise","bird","eagle","racoon","rat","fox","wolf","octopus","crow","rabbit","deer","","","","","","","","","","","","","",""
"dog","cat","pig","cow","goat","llama","lamb","horse","chicken","parrot","goose","duck","eagle","heron","bird","crow","hamster","ferret","snake","fish","lizard","","","","","","","","","","","","","",""
"bird","bird","dog","cat","hamster","ferret","rabbit","spider","koala","bear","mouse","lizard","frog","","","","","","","","","","","","","","","","","","","","","",""
"monkey","gorilla","chipmunk","cat","dog","mouse","turtle","bear","dear","giraffe","elephant","bird","fox","cow","horse","anteater","ape","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","fish","koala","monkey","bear","mouse","moose","ferret","hamster","elephant","giraffe","lizard","snake","shark","horse","","","","","","","","","","","","","","","","","",""
"giraffe","lion","dog","tiger","bear","rabbit","alligator","turtle","bird","cat","hamster","pig","cow","chicken","goose","moose","deer","elk","penguin","seal","monkey","","","","","","","","","","","","","",""
"dog","cat","horse","mouse","bird","goat","sheep","cow","moose","mouse","hamster","chinchilla","zebra","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","bird","whale","snake","spider","ant","fish","lion","tiger","bear","dolphin","axolotl","penguin","puffin","elephant","worm","bass","fly","","","","","","","","","","","","","","","",""
"dog","cat","seal","seagull","dolphin","alligator","ant","fly","mamma","polar bear","monkey","lion","tiger","bird","cheetah","lagoon","antelope","ostrich","otter","flamingo","ant eater","","","","","","","","","","","","","",""
"dog","cat","bird","reptile","snake","chicken","lizard","goose","monkey","snail","caterpillar","rabbit","duck","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","dolphin","mouse","elephant","gerbil","rat","whale","shark","fish","bird","snake","frog","rabbit","fox","tarantula","deer","elk","moose","lion","tiger","bear","rhino","zebra","giraffe","camel","","","","","","","","",""
"cow","sheep","dog","bird","lovebird","snake","spider","fish","dolphin","shark","tiger","kangaroo","pig","chicken","rooster","lizard","toucan","pelican","flamingo","turkey","zebra","giraffe","monkey","baboon","chinchilla","armadillo","","","","","","","","",""
"cat","dog","owl","bird","lizard","pig","horse","cow","chicken","wolf","deer","bison","tasmanian devil","cheetah","chimp","lion","zebra","giraffe","gorilla","antelope","elephant","rhino","buffalo","water buffalo","monkey","snake","","","","","","","","",""
"dog","cat","rat","rabbit","elephant","tiger","lion","chimpanzee","snail","snake","whale","mouse","fish","bird","crab","lobster","clam","seal","monkey","","","","","","","","","","","","","","","",""
"dog","cat","horse","iguana","turtle","gecko","bird","jaguar","leopard","fox","bear","fish","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","bear","lion","tiger","fish","guinea pig","koala bear","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","deer","goose","zebra","cat","dog","hippo","snake","lizard","mountain lion","bobcat","chimpanzee","ape","jaguar","panther","crow","pigeon","","","","","","","","","","","","","","","",""
"horse","dog","cat","mouse","sloth","pig","cow","deer","hedgehog","alligator","turtle","fish","bird","cheetah","lion","frog","duck","elephant","giraffe","owl","","","","","","","","","","","","","","",""
"dog","cat","mouse","elephant","rhino","shark","fish","bird","bluebird","mockingjay","swallow","monkey","gorilla","whale","killer whale","penguin","polar bear","panda","red panda","butterfly","fly","bee","hornet","ladybug","","","","","","","","","","",""
"dog","cat","horse","sheep","bunny","lion","tiger","bear","fish","elephant","rhino","turtle","snake","jaguar","leopard","","","","","","","","","","","","","","","","","","","",""
"lion","tiger","zebra","elephant","llama","dog","cat","horse","pig","duck","goose","bird","fish","frog","camel","lizard","tiger","racoon","squirrel","","","","","","","","","","","","","","","",""
"bird","cat","dog","fish","hamster","rabbit","horse","cow","insect","pig","sheep","goat","butterfly","bumblebee","spider","bear","giraffe","lion","polar bear","penguin","","","","","","","","","","","","","","",""
"cat","dog","elephant","tiger","lion","giraffe","cow","pig","chicken","hamster","rabbit","ox","mule","mammoth","bird","human","cheetah","ocelot","wildebeest","monkey","ape","chimp","lizard","","","","","","","","","","","",""
"giraffe","kangaroo","lion","deer","eagle","cardinal","hummingbird","roach","caterpillar","butterfly","snake","rooster","hamster","sheep","rabbit","dragon","rat","dog","moose","cat","mouse","reindeer","unicorn","wolf","emu","","","","","","","","","",""
"cat","horse","dog","anteater","llama","pig","guinea pig","tiger","ocelot","lion","zebra","parrot","sloth","mouse","bear","duck","","","","","","","","","","","","","","","","","","",""
"ant","aardvark","kangaroo","echidna","platypus","cat","dog","weasel","badger","snake","bear","camel","koala","lemur","chimpanzee","bonobo","gorilla","llama","alpaca","boar","squirrel","lion","tiger","jaguar","","","","","","","","","","",""
"dog","cat","mouse","human","chimp","ape","gorilla","spider","mosquito","deer","bear","eagle","falcon","hawk","seagull","whale","dolphin","shark","seal","otter","ladybug","grasshopper","kangaroo","","","","","","","","","","","",""
"dog","cat","fish","crocodile","alligator","shark","dolphin","horse","mouse","hamster","snake","ferret","ostrich","leopard","lion","monkey","gorilla","chimp","","","","","","","","","","","","","","","","",""
"dog","cat","fish","ape","chimp","lion","tiger","bear","leopard","elephant","penguin","panda","monkey","ferret","squirrel","ibi","yak","zebra","giraffe","whale","","","","","","","","","","","","","","",""
"dog","cat","monkey","lion","worm","bird","hippopotamus","fish","pelican","dinosaur","snake","gorilla","","","","","","","","","","","","","","","","","","","","","","",""
"ostrich","dog","tarantula","flamingo","monkey","lion","cat","fish","camel","goat","chicken","elephant","squirrel","bird","snake","komodo dragon","cheetah","wolf","fox","rat","ferret","hamster","","","","","","","","","","","","",""
"cat","dog","mouse","pig","chicken","bird","eagle","hippopotamus","elephant","seal","penguin","otter","fish","whale","shrimp","kitten","puppy","hamster","rat","snake","gerbil","","","","","","","","","","","","","",""
"dog","cat","opossum","wolf","bear","tiger","panther","crow","eagle","elephant","zebra","horse","camel","lion","hippo","fish","shark","whale","bat","","","","","","","","","","","","","","","",""
"frog","cat","goat","dog","mouse","fish","monkey","ape","rhino","buffalo","chicken","rooster","","","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","horse","giraffe","elephant","tiger","lion","panther","parrot","parakeet","hamster","guinea pig","ferret","beta fish","frog","lizard","snake","turtle","monkey","whale","shark","squirrel","","","","","","","","","","","","",""
"bird","cat","dog","lion","turtle","quail","turkey","bat","owl","fish","shark","octopus","squid","jellyfish","crab","squirrel","possum","rabbit","snake","lizard","fox","wolf","phoenix","","","","","","","","","","","",""
"cat","fish","dog","rabbit","hamster","lizard","snake","spider","bird","quail","lion","giraffe","hippo","alligator","sea urchin","sea sponge","","","","","","","","","","","","","","","","","","",""
"snake","cat","dog","fish","shark","tiger","bird","llama","octopus","monkey\","lion","elephant","armadillo","lizard","squirrel","deer","owl","","","","","","","","","","","","","","","","","",""
"cat","giraffe","hedgehog","bear","deer","camel","zebra","horse","pig","lion","monkey","ape","rhino","chicken","turkey","fish","dog","","","","","","","","","","","","","","","","","",""
"cat","dog","fish","rabbit","elephant","giraffe","monkey","zebra","kangaroo","moose","leopard","tiger","dolphin","shark","bird","fox","","","","","","","","","","","","","","","","","","",""
"beagle","doberman","boxer","cat","pit bull","cow","buffalo","horse","llama","emu","ostrich","alpaca","pig","goat","golden retriever","labrador","","","","","","","","","","","","","","","","","","",""
"giraffe","lion","cat","dog","bird","tiger","horse","pig","cow","goat","sheep","llama","bear","alligator","turtle","fish","","","","","","","","","","","","","","","","","","",""
"dog","cat","tiger","lion","wolf","bird","whale","fish","frog","lizard","snake","squirrel","badger","hamster","spider","","","","","","","","","","","","","","","","","","","",""
"cat","dog","cow","horse","chicken","rooster","marmoset","giraffe","elephant","rhino","hippo","kangaroo","frog","toad","rabbit","whale","dolphin","fish","starfish","monkey","ape","gorilla","chimp","anemone","","","","","","","","","","",""
"dog","cat","kiwi","panda","bear","polar bear","cow","ox","buffalo","horse","snake","mouse","rat","rabbit","goat","shark","dolphin","goldfish","catfish","starfish","zebra","reindeer","","","","","","","","","","","","",""
"cat","dog","tiger","snake","hippo","bear","rabbit","bird","opossum","raccoon","alligator","","","","","","","","","","","","","","","","","","","","","","","",""
"walrus","eagle","squid","panda","bear","dog","cat","mouse","frog","rat","hamster","bunny","coyote","dingo","roadrunner","cricket","pic","pig","horse","cow","lion","zebra","cobra","crocodile","alligator","dolphin","orca","seal","elephant","monkey","gorilla","hippo","rhino","gazelle","antelope"
"panda","giraffe","tiger","bear","lion","snake","bird","pig","elephant","emu","zebra","fox","cat","dog","fish","rabbit","gerbil","hamster","duck","goose","mouse","rat","sloth","","","","","","","","","","","",""
"cat","dog","mouse","rabbit","horse","alligator","giraffe","cow","pig","lotus","lady bug","human","hamster","bunny","louse","gecko ()","monkey","ape","","","","","","","","","","","","","","","","",""
"cat","dog","elephant","ant","dragon fly","fly","midge","worm","clam","sponge","starfish","rat","mouse","frog","lizard","","","","","","","","","","","","","","","","","","","",""
"zebra","cheetah","dog","cat","leopard","elephant","whale shark","elephant","hippo","rhino","lemur","orangutan","bonobo","chimp","rhesus","macaque","prairie dog","ferret","antelope","jaguar","mountain lion","tiger","elk","moose","bear","polar","panda","red panda","fish","","","","","",""
"panda","zebra","penguin","lion","tiger","bear","raven","crow","elephant","monkey","chimpanzee","cow","moose","yak","camel","llama","toad","frog","pig","cheetah","gazelle","deer","shark","dolphin","","","","","","","","","","",""
"horse","cow","cat","dog","goat","rabbit","elephant","zebra","chicken","hippo","giraffe","deer","bird","lion","","","","","","","","","","","","","","","","","","","","",""
"aardvark","cat","dog","pig","cow","goat","moose","snake","crocodile","alligator","eagle","goose","duck","penguin","cougar","jaguar","lion","ape","chimp","gorilla","rat","","","","","","","","","","","","","",""
"elephant","cat","lion","dolphin","fish","cow","chicken","bird","pig","whale","turtle","dog","fox","tiger","panther","raven","","","","","","","","","","","","","","","","","","",""
"cat","dog","worm","lion","cricket","spider","mouse","rat","squirrel","chimp","gorilla","baboon","giraffe","rhino","tiger","black bear","brown bear","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","turtle","cow","horse","peacock","pig","chicken","fish","toad","frog","deer","mouse","spider","alligator","crocodile","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","cat","cow","mouse","horse","ant","anteater","antelope","giraffe","elephant","zebra","dog","wolf","chimpanzee","armadillo","grasshopper","snake","bird","fish","racoon","possum","lizard","","","","","","","","","","",""
"lion","tiger","bear","cat","cow","mouse","horse","ant","anteater","antelope","giraffe","elephant","zebra","dog","wolf","chimpanzee","armadillo","grasshopper","snake","bird","fish","racoon","possum","lizard","","","","","","","","","","",""
"cat","fish","dog","zebra","lion","goat","gazelle","elephant","bird","mouse","bunny","bear","bat","vulture","canary","flamingo","meerkat","kangaroo","","","","","","","","","","","","","","","","",""
"cow","pig","moose","horse","crocodile","pigeon","cat","dog","parrot","frog","snake","fish","shark","spider","giraffe","rhino","tiger","lion","antelope","walrus","seal","polar bear","","","","","","","","","","","","",""
"platypus","elephant","rhino","donkey","dog","fox","fish","parrot","orangutan","chimp","penguin","antelope","lion","tiger","","","","","","","","","","","","","","","","","","","","",""
"horse","cow","chicken","duck","dog","cat","goal","llama","fish","lion","tiger","bear","zebra","crocodile","otter","shrimp","whale","snake","turkey","lemur","ape","","","","","","","","","","","","","",""
"fox","rabbit","bear","dog","fish","bird","scorpion","armadillo","newt","lizard","skink","skunk","horse","zebra","lion","gazelle","rhino","elephant","pygmy goat","cow","chicken","goose","duck","parakeet","hamster","rat","mouse","fish","","","","","","",""
"cat","dog","bear","elephant","penguin","polar bear","jackrabbit","squirrel","lizard","frog","toad","bird","bat","mouse","rat","guinea pig","hamster","sloth","tiger","cheetah","","","","","","","","","","","","","","",""
"bee","grasshopper","elephant","dog","cat","mouse","rat","rabbit","crow","sea lion","worm","wasp","bear","eagle","chicken","pig","horse","cow","zebra","spider","snake","","","","","","","","","","","","","",""
"giraffe","cardinal","eagle","snake","binturong","lizard","owl","sugar glider","marmoset","kangaroo","angel fish","bush baby","zebra","raccoon","moose","deer mouse","ground hog","salamander","","","","","","","","","","","","","","","","",""
"aardvark","anteater","giraffe","crocodile","dog","cat","hamster","llama","alpaca","came","camel*","bird","bear","monkey","koala","kangaroo","elephant","rhino","snake","","","","","","","","","","","","","","","",""
"dog","cat","elephant","giraffe","lion","tiger","bear","moose","deer","goose","ant","ant eater","toucan","fish","shark","eagle","spider","","","","","","","","","","","","","","","","","",""
"dog","cat","owl","fish","shark","tiger","lion","bear","jaguar","snake","boar","penguin","zebra","hippo","giraffe","emu","raccoon","badger","nighthawk","ram","hornet","wildcat","","","","","","","","","","","","",""
"giraffe","elephant","ant","tiger","monkey","kangaroo","ladybug","platypus","dog","cat","whale","fish","shark","hare","beetle","fly","gnat","wildcat","lion","deer","panther","","","","","","","","","","","","","",""
"dog","cat","rat","mouse","horse","cow","lamb","goat","lion","tiger","elephant","koala","hippo","bat","fish","walrus","bee","bird","bobcat","deer","","","","","","","","","","","","","","",""
"dog","giraffe","zebra","cat","bird","alligator","crocodile","snake","worm","cricket","fly","lion","tiger","bear","flea","hamster","rat","lady bug","jaguar","squirrel","duck","ostrich","","","","","","","","","","","","",""
"dog","cat","horse","fish","snake","elephant","deer","cow","camel","donkey","mouse","rat","wolf","bear","lizard","frog","bird","owl","","","","","","","","","","","","","","","","",""
"cat","cow","dog","manatee","beaver","otter","fish","platypus","octopus","squid","shark","sting ray","squirrel","deer","elk","bison","praying manti","butterfly","bird","lizard","mouse","hamster","***hamster","owl","","","","","","","","","","",""
"cat","dog","llama","elephant","monkey","cow","sheep","pig","hog","chicken","bird","leopard","cheetah","polar bear","penguin","duck","mouse","gerbil","hamster","platypus","kangaroo","koala","ant eater","","","","","","","","","","","",""
"penguin","dog","cat","bear","mouse","lion","otter","cow","pig","duck","sheep","snake","snail","lizard","rhino","elephant","zebra","tiger","eagle","parrot","canary","pigeon","butterfly","","","","","","","","","","","",""
"lion","tiger","bear","koala","jaguar","coyote","duck","racoon","possum","squirrel","monkey","zebra","boar","lemur","","","","","","","","","","","","","","","","","","","","",""
"fish","frog","horse","dolphin","dog","cat","barracuda","antelope","lion","tiger","bear","pigeon","hawk","eagle","monkey","elephant","giraffe","pig","goat","cow","bull","wolf","osprey","","","","","","","","","","","",""
"chinchilla","hamster","dog","cat","elephant","giraffe","frog","snake","lizard","bird","parrot","squirrel","dik dik","capybara","deer","bear","owl","crocodile","alligator","egret","mosquito","","","","","","","","","","","","","",""
"cat","dog","elephant","tiger","lion","moose","cow","horse","pig","chicken","leopard","panther","mammoth","pterodactyl","","","","","","","","","","","","","","","","","","","","",""
"zebra","turtle","lion","tiger","bear","penguin","lobster","fish","cow","pig","horse","cat","dog","lizard","gecko","goose","turkey","chicken","duck","quail","kangaroo","deer","elk","moose","","","","","","","","","","",""
"rat","cat","squirrel","dog","mouse","hippo","elephant","koala","beaver","snake","wolf","cow","giraffe","turtle","squid","whale","shark","dolphin","octopus","deer","skunk","","","","","","","","","","","","","",""
"beaver","elephant seal","zebra","dog","cat","mouse","moose","duck","hin","horse","cow","pig","goat","ostrich","kangaroo","penguin","polar bear","","","","","","","","","","","","","","","","","",""
"dog","cat","snake","mouse","rat","bird","monkey","giraffe","fish","ferret","guinea pig","squirrel","racoon","elephant","pelican","zebra","cobra","lion","pig","turkey","chicken","cow","","","","","","","","","","","","",""
"dog","cat","pig","horse","goat","sheep","fly","turtle","fish","whale","dolphin","bear","tiger","lion","cheetah","duck","goose","blue jay","shark","tiger shark","centipede","","","","","","","","","","","","","",""
"lion","tiger","bear","cat","monkey","zebra","giraffe","koala","centipede","sloth","kangaroo","elephant","liger","frog","fish","shark","dolphin","snake","crocodile","alligator","boar","tapeworm","","","","","","","","","","","","",""
"caribou","parrot","penguin","lion","tiger","bear","elephant","giraffe","peacock","swan","duck","goose","snake","otter","fish","dog","cat","ferret","eagle","owl","mouse","rat","rabbit","","","","","","","","","","","",""
"elephant","fox","owl","dolphin","ape","tiger","alligator","elk","moose","starfish","shark","crab","snail","spider","dog","cat","hamster","bird","deer","","","","","","","","","","","","","","","",""
"dog","cat","ferret","kangaroo","dolphin","cardinal","sparrow","wolf","bear","deer","elk","owl","hawk","eagle","vulture","rat","mouse","","","","","","","","","","","","","","","","","",""
"dog","cat","monkey","sloth","zebra","elephant","fish","koala","bird","lion","tiger","bear","jaguar","panther","coyote","buffalo","deer","bison","pig","cow","chicken","turkey","quail","squid","","","","","","","","","","",""
"elephant","aardvark","penguin","iguana","boa constrictor","zebra","giraffe","lion","duckbilled platypus","kangaroo","pit viper","lemur","chimpanzee","poison dart frog","salamander","gecko","","","","","","","","","","","","","","","","","","",""
"cat","dog","bird","tegu","fish","zebra","lion","hippo","giraffe","goat","sheep","okapi","pangolin","anteater","ferret","rabbit","snake","owl","eagle","dinosaur","kangaroo","chicken","wallaby","","","","","","","","","","","",""
"dog","cat","elephant","frog","grass hopper","hippo","iguana","alligator","crocodile","narwhale","zebra","flamingo","rhino","yak","","","","","","","","","","","","","","","","","","","","",""
"horse","cow","cat","dog","hamster","bird","parrot","cockatoo","hippo","giraffe","kangaroo","crocodile","alligator","lizard","lady bug","grass hopper","butterfly","house fly","finch","raven","macaw","parakeet","","","","","","","","","","","","",""
"ant","elephant","dolphin","tiger","lion","bear","cat","dog","lizard","platypus","octopus","snake","fish","shark","bird","hamster","gerbil","mouse","rat","bat","whale","eagle","penguin","crab","lobster","cow","pig","","","","","","","",""
"ant","rabbit","frog","dog","cat","bull","cow","anteater","aardvark","whale","shark","fish","eel","bison","antelope","lion","cheetah","jaguar","leopard","horse","pig","chicken","duck","bird","alligator","snake","","","","","","","","",""
"dog","cat","tiger","lion","bear","elephant","giraffe\","zebra","iguana","ant","spider","monkey","chimpanzee","koala bear","panda bear","rat","squirrel","raccoon","otter","","","","","","","","","","","","","","","",""
"elephant","dog","cat","zebra","lion","mule","cow","pig","horse","tiger","llama","beetle","human","cheetah","camel","turtle","fish","jaguar","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","rabbit","zebra","panda","koala","lion","tiger","bear","giraffe","liger","sloth","bird","bat","fly","squirrel","peacock","ostrich","whale","dolphin","shark","clownfish","otter","","","","","","","","","","",""
"dog","cat","owl","bird","horse","turtle","frog","quail","monkey","lizard","alligator","walrus","penguin","goat","cow","chicken","deer","lion","","","","","","","","","","","","","","","","",""
"dog","cat","elephant","giraffe","zebra","lion","seal","tiger","panther","mouse","turtle","squirrel","bird","dolphin","whale","fish","shark","snake","rhino","","","","","","","","","","","","","","","",""
"zebra","dogfish","dog","fish","cow","bird","ostrich","whale","dolphin","owl","cat","pig","goat","sheep","lamb","mouse","rat","cheetah","lion","alligator","shark","seal","frog","","","","","","","","","","","",""
"dog","cat","koala","hippo","kangaroo","elephant","giraffe","camel","monkey","rabbit","snake","fish","lemur","tiger","bear","cougar","hamster","sloth","chipmunk","hawk","squirrel","turtle","dolphin","whale","shark","manatee","","","","","","","","",""
"cat","dog","pig","cow","monkey","ostrich","buffalo","gibbon","zebra","horse","sheep","lion","tiger","bear","gopher","chipmunk","squirrel","rabbit","snake","mouse","rat","bat","hippo","fish","","","","","","","","","","",""
"dog","cat","bird","alligator","elephant","giraffe","zebra","snake","python","horse","goat","sheep","cow","pig","donkey","dragon","unicorn","lizard","skink","fish","turtle","spider","eagle","mouse","rat","","","","","","","","","",""
"cat","dog","pig","sheep","tiger","walrus","octopus","monkey","ant","roach","spider","snake","bee","wasp","bear","manatee","whale","frog","lizard","snail","otter","walrus","crane","dolphin","butterfly","","","","","","","","","",""
"dog","cat","jaguar","cheetah","elephant","giraffe","whale","lion","tiger","bear","bird","penguin","alligator","crocodile","hamster","guinea pig","snake","lady bug","koala bear","","","","","","","","","","","","","","","",""
"wolf","cat","dog","lion","panther","cougar","jaguar","mouse","ferret","chia","lizard","mongoose","weasel","meerkat (?","fish","dolphin","","","","","","","","","","","","","","","","","","",""
"lion","cat","dog","fish","bird","goat","cow","pig","alligator","horse","sheep","pelican","bear","tiger","elephant","rhino","parrot","","","","","","","","","","","","","","","","","",""
"dog","cat","hamster","horse","cuttlefish","shark","dolphin","chicken","snake","fish","squid","penguin","butterfly","giraffe","elephant","bird","monkey]","hippo","seal","lion","tiger","bear","sloth","aardvark","snail","","","","","","","","","",""
"snake","rabbit","dog","cat","lion","pig","cow","donkey","horse","rabbit","mouse","rat","fish","elephant","shark","dolphin","star fish","ant","grasshopper","bird","owl","moose","leopard","iguana","","","","","","","","","","",""
"cat","dog","pig","goat","monkey","snake","fox","cougar","lizard","sloth","macaque","tiger","lion","puma","bear","grizzly","manti","fly","meerkat","tomcat","iguana","alligator","crocodile","","","","","","","","","","","",""
"cat","dog","fish","whale","dolphin","seal","squirrel","moose","deer","lion","tiger","llama","eel","panda","cobra","bird","eagle","bunny","groundhog","mouse","swan","duck","goose","red herring","python","killer whale","urchin","","","","","","","",""
"bison","buffalo","ant","cheetah","tiger","dog","cat","rat","mouse","elephant","giraffe","frog","fish","water moccasin","snake","zebra","ape","gorilla","marmoset","alligator","","","","","","","","","","","","","","",""
"ox","ostrich","elephant","bear","bee","antelope","anteater","alligator","cat","dog","fox","goat","giraffe","baboon","hyena","jackolope","cheetah","","","","","","","","","","","","","","","","","",""
"monkey","cat","dog","bear","lion","tiger","giraffe","elephant","fish","bird","baboon","gorilla","snake","lizard","","","","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","hippo","giraffe","lion","tiger","bear","rat","bird","lizard","fish","snake","pig","bear","horse","cow","","","","","","","","","","","","","","","","","",""
"owl","cat","dog","whale","bird","fish","deer","donkey","horse","pig","chicken","cow","","","","","","","","","","","","","","","","","","","","","","",""
"aardvark","anteater","antelope","boar","badger","cat","condor","eagle","finch","hummingbird","wolf","fox","polar bear","brown bear","kodiak bear","salmon","dog","deer","dikdik","elk","eel","tilapia","cod","catfish","","","","","","","","","","",""
"horse","cat","dog","otter","fox","cow","pig","sheep","goat","lion","zebra","whale","dolphin","shark","fish","chicken","turkey","kangaroo","koala","panda bear","","","","","","","","","","","","","","",""
"panda","fly","cat","dog","fish","fox","polar bear","black bear","brown bear","dolphin","elephant","giraffe","goat","ram","sheep","deer","mosquito","tick","roach","","","","","","","","","","","","","","","",""
"dog","cat","bull","boar","snake","rat","bear","goose","elephant","rhino","tiger","lion","zebra","pig","horse","","","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","horse","deer","pig","bear","hog","spider","rat","duck","swan","turkey","crab","fish","","","","","","","","","","","","","","","","","","","",""
"cat","dog","mouse","deer","fish","octopus","tiger","lion","bear","squirrel","beaver","antelope","zebra","elephant","giraffe","snail","turtle","hedgehog","","","","","","","","","","","","","","","","",""
"giraffe","dog","cat","whale","dolphin","lizard","elephant","lion","zebra","antelope","crocodile","fish","shrimp","shark","seahorse","whale shark","bird","eagle","","","","","","","","","","","","","","","","",""
"dog","cat","hamster","ground hog","dolphin","pig","moose","elk","deer","chipmunk","squirrel","fish","shark","possum","raccoon","tiger","lion","anteater","elephant","liger","","","","","","","","","","","","","","",""
"cat","dog","mouse","lion","peacock","tiger","bunny","hen","swan","fish","beaver","squirrel","lamb","shark","","","","","","","","","","","","","","","","","","","","",""
"lion","tiger","bear","cat","god","cow","horse","snake","rat","mouse","zebra","panda","bird","red jay","blue jay","rabbit","bear","fox","snail","","","","","","","","","","","","","","","",""
"gorilla","cat","dog","bunny","rat","snake","frog","fish","bird","giraffe","lion","tiger","bare","deer","moose","elk","mongoose","badger","lizard","gopher","","","","","","","","","","","","","","",""
"dog","catefrog","fish""","elephant","snake","lamb","cow","pig","chicken","turkey","lion","elk","pig","eel","bird","kangaroo","","","","","","","","","","","","","","","","","","",""
"bug","dog","cat","ant","giraffe","crocodile","alligator","whale","angel fish","sunfish","flea","sand flea","crab","bird","seagull","pelican","jellyfish","fox","opossum","rat","mole","shrew","bat","praying manti","ant","","","","","","","","","",""
"panda","cat","dog","elk","moose","rabbit","buffalo","seal","hedgehog","lion","tiger","bear","ostrich","bat","hamster","rat","mouse","monkey","elephant","cow","horse","pig","snake","","","","","","","","","","","",""
"cat","dog","snake","lizard","bird","bunny","lion","tiger","bear","elephant","giraffe","zebra","ferret","rat","","","","","","","","","","","","","","","","","","","","",""
